TrainStep,TrainLoss,TrainStep,TrainAccuracy
510,1.85041,510,0.5
511,1.87096,511,0.48
512,1.74401,512,0.41
513,2.00025,513,0.4
514,1.69082,514,0.52
515,1.88469,515,0.39
516,1.96932,516,0.44
517,1.81176,517,0.46
518,1.67543,518,0.6
519,1.82057,519,0.59
520,1.78756,520,0.49
521,1.89151,521,0.41
522,1.98196,522,0.37
523,2.26204,523,0.42
524,2.07573,524,0.38
525,1.83605,525,0.55
526,1.70353,526,0.54
527,1.84393,527,0.58
528,1.66723,528,0.63
529,1.74711,529,0.54
530,1.68775,530,0.72
531,1.61599,531,0.61
532,1.8273,532,0.44
533,2.12417,533,0.5
534,1.73953,534,0.62
535,1.6261,535,0.64
536,1.47931,536,0.74
537,1.56569,537,0.55
538,1.84404,538,0.4
539,2.3695,539,0.29
540,2.02893,540,0.34
541,2.16305,541,0.49
542,1.89171,542,0.54
543,1.70439,543,0.62
544,1.74925,544,0.59
545,1.64752,545,0.63
546,1.65121,546,0.52
547,1.96546,547,0.35
548,2.20032,548,0.36
549,1.76425,549,0.52
550,1.70022,550,0.49
551,1.75807,551,0.45
552,1.7496,552,0.57
553,1.65331,553,0.64
554,1.80996,554,0.56
555,1.62257,555,0.49
556,1.59476,556,0.38
557,2.14331,557,0.32
558,1.86981,558,0.45
559,1.91094,559,0.47
560,1.76055,560,0.57
561,1.60611,561,0.62
562,1.65742,562,0.55
563,1.72127,563,0.53
564,1.83854,564,0.51
565,1.58393,565,0.55
566,1.64715,566,0.62
567,1.63831,567,0.51
568,1.82567,568,0.45
569,2.03313,569,0.33
570,1.98339,570,0.5
571,2.04648,571,0.36
572,1.8853,572,0.45
573,1.78023,573,0.51
574,1.89958,574,0.44
575,1.79298,575,0.42
576,1.83601,576,0.48
577,1.79357,577,0.65
578,1.69627,578,0.51
579,1.86812,579,0.41
580,1.98189,580,0.51
581,1.79814,581,0.61
582,1.78103,582,0.59
583,1.78305,583,0.47
584,1.95101,584,0.44
585,1.87034,585,0.48
586,1.65208,586,0.49
587,2.00957,587,0.43
588,1.76817,588,0.47
589,1.74367,589,0.63
590,1.70976,590,0.52
591,1.66349,591,0.45
592,1.79005,592,0.48
593,1.91062,593,0.45
594,1.78157,594,0.61
595,1.63646,595,0.67
596,1.47341,596,0.64
597,1.7447,597,0.54
598,1.73964,598,0.56
599,1.94231,599,0.42
600,1.75673,600,0.64
601,1.77486,601,0.48
602,1.95946,602,0.48
603,1.8112,603,0.47
604,1.74371,604,0.57
605,1.51344,605,0.62
606,1.67803,606,0.59
607,1.33256,607,0.65
608,1.66334,608,0.53
609,1.55498,609,0.61
610,1.93604,610,0.46
611,1.71026,611,0.56
612,1.78977,612,0.47
613,1.63326,613,0.7
614,1.6994,614,0.54
615,1.8299,615,0.4
616,1.67109,616,0.63
617,1.84186,617,0.51
618,1.77447,618,0.57
619,1.61206,619,0.64
620,1.73013,620,0.53
621,1.62189,621,0.57
622,1.863,622,0.59
623,1.61147,623,0.55
624,1.70916,624,0.56
625,1.60141,625,0.62
626,1.63779,626,0.46
627,1.70114,627,0.56
628,1.56143,628,0.68
629,1.80019,629,0.33
630,2.07164,630,0.38
631,1.72005,631,0.59
632,1.68154,632,0.58
633,1.61875,633,0.55
634,1.64128,634,0.54
635,1.74233,635,0.53
636,1.81014,636,0.52
637,1.72387,637,0.56
638,1.60635,638,0.67
639,1.54537,639,0.65
640,1.74416,640,0.54
641,1.79957,641,0.47
642,1.98396,642,0.31
643,2.28033,643,0.45
644,1.90255,644,0.4
645,1.68721,645,0.58
646,1.7777,646,0.62
647,1.60382,647,0.61
648,1.59051,648,0.68
649,1.51764,649,0.77
650,1.52526,650,0.66
651,1.68399,651,0.54
652,1.62942,652,0.66
653,1.8207,653,0.57
654,1.5095,654,0.65
655,1.60938,655,0.67
656,1.49777,656,0.7
657,1.49403,657,0.5
658,1.88801,658,0.37
659,2.39561,659,0.26
660,2.22191,660,0.35
661,2.08975,661,0.28
662,1.9472,662,0.5
663,1.80413,663,0.42
664,1.83049,664,0.54
665,1.73816,665,0.52
666,1.45896,666,0.66
667,1.44434,667,0.71
668,1.65874,668,0.59
669,1.39857,669,0.63
670,1.62822,670,0.56
671,1.82472,671,0.55
672,1.67455,672,0.67
673,1.50332,673,0.78
674,1.45974,674,0.7
675,1.67264,675,0.7
676,1.61827,676,0.65
677,1.722,677,0.58
678,1.41927,678,0.64
679,1.5466,679,0.64
680,1.61144,680,0.66
681,1.62592,681,0.7
682,1.50161,682,0.71
683,1.4297,683,0.58
684,1.66147,684,0.49
685,1.82489,685,0.6
686,1.7343,686,0.48
687,1.71693,687,0.67
688,1.50634,688,0.67
689,1.44109,689,0.69
690,1.65249,690,0.53
691,1.70554,691,0.68
692,1.46174,692,0.78
693,1.25227,693,0.63
694,2.06966,694,0.47
695,1.88946,695,0.51
696,1.79942,696,0.36
697,2.10164,697,0.39
698,1.6896,698,0.58
699,1.67814,699,0.53
700,1.66842,700,0.69
701,1.57066,701,0.67
702,1.60438,702,0.54
703,1.79025,703,0.63
704,1.68025,704,0.67
705,1.54955,705,0.61
706,1.55967,706,0.62
707,1.73588,707,0.36
708,2.51175,708,0.4
709,1.7248,709,0.65
710,1.54268,710,0.66
711,1.4256,711,0.75
712,1.53554,712,0.72
713,1.52749,713,0.75
714,1.50614,714,0.73
715,1.25847,715,0.84
716,1.46066,716,0.47
717,2.11658,717,0.46
718,1.76902,718,0.56
719,1.67876,719,0.6
720,1.50192,720,0.72
721,1.5503,721,0.58
722,1.5972,722,0.58
723,1.5801,723,0.63
724,1.53716,724,0.6
725,1.67823,725,0.62
726,1.41261,726,0.58
727,1.61863,727,0.71
728,1.4464,728,0.78
729,1.44971,729,0.63
730,1.53485,730,0.56
731,1.62891,731,0.63
732,1.46902,732,0.53
733,1.63267,733,0.54
734,1.51672,734,0.58
735,1.49565,735,0.71
736,1.49966,736,0.69
737,1.43439,737,0.62
738,2.02912,738,0.41
739,2.74929,739,0.35
740,2.16229,740,0.4
741,1.94655,741,0.41
742,1.7895,742,0.5
743,1.60115,743,0.63
744,1.80026,744,0.58
745,1.56068,745,0.73
746,1.68967,746,0.59
747,1.52575,747,0.72
748,1.71285,748,0.63
749,1.59891,749,0.71
750,1.5979,750,0.66
751,1.64449,751,0.68
752,1.59683,752,0.67
753,1.78125,753,0.64
754,1.59535,754,0.64
755,1.49323,755,0.7
756,1.7521,756,0.55
757,1.60721,757,0.73
758,1.60026,758,0.75
759,1.51682,759,0.7
760,1.44067,760,0.71
761,1.47075,761,0.76
762,1.50827,762,0.61
763,1.59438,763,0.65
764,1.48887,764,0.6
765,1.6525,765,0.64
766,1.53015,766,0.74
767,1.50369,767,0.57
768,1.52024,768,0.55
769,1.7374,769,0.45
770,1.73378,770,0.34
771,2.6885,771,0.43
772,1.66725,772,0.54
773,1.86805,773,0.46
774,1.73238,774,0.54
775,1.58596,775,0.62
776,1.44891,776,0.68
777,1.5029,777,0.65
778,1.60003,778,0.49
779,1.77929,779,0.49
780,1.74884,780,0.67
781,1.58379,781,0.62
782,1.59222,782,0.68
783,1.39983,783,0.72
784,1.5932,784,0.53
785,1.65016,785,0.57
786,1.51228,786,0.73
787,1.44155,787,0.71
788,1.6228,788,0.69
789,1.51893,789,0.62
790,1.63758,790,0.61
791,1.73457,791,0.46
792,1.74023,792,0.62
793,1.49763,793,0.61
794,1.60822,794,0.6
795,1.27673,795,0.79
796,1.7295,796,0.56
797,1.64573,797,0.63
798,1.45842,798,0.67
799,1.46905,799,0.64
800,1.66223,800,0.59
801,1.3936,801,0.71
802,1.27256,802,0.75
803,1.40283,803,0.64
804,1.64987,804,0.52
805,1.69897,805,0.51
806,1.7941,806,0.51
807,1.69572,807,0.62
808,1.3897,808,0.69
809,1.5726,809,0.73
810,1.46729,810,0.72
811,1.38282,811,0.79
812,1.75841,812,0.52
813,1.66458,813,0.56
814,1.49608,814,0.66
815,1.49403,815,0.62
816,1.74378,816,0.6
817,1.55528,817,0.61
818,1.3753,818,0.71
819,1.2316,819,0.82
820,1.44686,820,0.64
821,1.48189,821,0.66
822,1.54331,822,0.64
823,1.60957,823,0.6
824,1.6188,824,0.62
825,1.49037,825,0.65
826,1.52225,826,0.65
827,1.85114,827,0.54
828,1.55207,828,0.74
829,1.49622,829,0.68
830,1.73192,830,0.49
831,1.89269,831,0.47
832,1.54972,832,0.57
833,1.64467,833,0.58
834,1.62626,834,0.56
835,1.70053,835,0.59
836,1.69102,836,0.65
837,1.57868,837,0.67
838,1.45588,838,0.74
839,1.45735,839,0.63
840,1.54617,840,0.68
841,1.44974,841,0.57
842,1.71628,842,0.57
843,1.58247,843,0.57
844,1.6879,844,0.67
845,1.29984,845,0.67
846,1.47942,846,0.76
847,1.50536,847,0.72
848,1.43682,848,0.65
849,1.59177,849,0.59
850,1.52389,850,0.75
851,1.42614,851,0.7
852,1.6341,852,0.57
853,1.89969,853,0.54
854,1.59007,854,0.69
855,1.39372,855,0.82
856,1.31165,856,0.69
857,1.51057,857,0.74
858,1.39549,858,0.75
859,1.57539,859,0.57
860,1.92658,860,0.5
861,1.83532,861,0.45
862,1.98282,862,0.42
863,1.72601,863,0.54
864,1.53137,864,0.56
865,1.42859,865,0.65
866,1.9023,866,0.47
867,1.74711,867,0.67
868,1.57626,868,0.64
869,1.46464,869,0.63
870,1.41547,870,0.71
871,1.3117,871,0.74
872,1.58088,872,0.63
873,1.6044,873,0.58
874,1.5067,874,0.75
875,1.41306,875,0.72
876,1.59063,876,0.64
877,1.76037,877,0.62
878,1.49005,878,0.64
879,1.61981,879,0.64
880,1.65819,880,0.59
881,1.54903,881,0.67
882,1.47822,882,0.59
883,1.76327,883,0.6
884,1.52442,884,0.67
885,1.61261,885,0.67
886,1.31419,886,0.77
887,1.49262,887,0.59
888,1.99038,888,0.51
889,1.68623,889,0.48
890,1.72343,890,0.59
891,1.47907,891,0.76
892,1.35444,892,0.83
893,1.38924,893,0.8
894,1.51778,894,0.72
895,1.74036,895,0.63
896,1.37793,896,0.76
897,1.4065,897,0.69
898,1.88398,898,0.57
899,1.67838,899,0.7
900,1.54541,900,0.65
901,1.53892,901,0.64
902,1.63568,902,0.55
903,1.61652,903,0.61
904,1.41736,904,0.79
905,1.22262,905,0.83
906,1.26683,906,0.74
907,1.79183,907,0.59
908,1.40582,908,0.67
909,1.43586,909,0.69
910,1.33321,910,0.8
911,1.30781,911,0.75
912,1.22547,912,0.74
913,1.65137,913,0.53
914,1.73172,914,0.59
915,1.36971,915,0.72
916,1.36859,916,0.77
917,1.30514,917,0.69
918,1.36916,918,0.59
919,1.33586,919,0.66
920,1.64557,920,0.61
921,1.37812,921,0.72
922,1.38017,922,0.77
923,1.44179,923,0.63
924,1.68435,924,0.62
925,1.48894,925,0.69
926,1.54548,926,0.55
927,1.69441,927,0.59
928,1.4921,928,0.6
929,1.36821,929,0.74
930,1.50747,930,0.69
931,1.28027,931,0.79
932,1.56507,932,0.56
933,1.61335,933,0.61
934,1.55595,934,0.66
935,1.51631,935,0.57
936,1.70687,936,0.65
937,1.42319,937,0.78
938,1.42577,938,0.73
939,1.53805,939,0.68
940,1.48231,940,0.71
941,1.29118,941,0.75
942,1.10931,942,0.74
943,1.53393,943,0.49
944,2.07947,944,0.51
945,2.00552,945,0.43
946,1.83335,946,0.45
947,1.75835,947,0.51
948,1.59143,948,0.63
949,1.41821,949,0.75
950,1.16491,950,0.84
951,1.54155,951,0.78
952,1.27493,952,0.79
953,1.60588,953,0.61
954,1.55479,954,0.64
955,1.46287,955,0.67
956,1.52721,956,0.59
957,1.50843,957,0.73
958,1.48028,958,0.75
959,1.41922,959,0.76
960,1.61763,960,0.68
961,1.30213,961,0.72
962,1.32529,962,0.74
963,1.30705,963,0.8
964,1.51971,964,0.65
965,1.67198,965,0.55
966,1.46521,966,0.74
967,1.43864,967,0.7
968,1.35347,968,0.72
969,1.55994,969,0.64
970,1.77449,970,0.47
971,1.67967,971,0.62
972,1.49843,972,0.74
973,1.26391,973,0.78
974,1.26091,974,0.87
975,1.49978,975,0.6
976,1.49984,976,0.6
977,1.45068,977,0.68
978,1.53584,978,0.62
979,1.49383,979,0.63
980,1.63105,980,0.64
981,1.53702,981,0.72
982,1.45143,982,0.69
983,1.29378,983,0.8
984,1.30673,984,0.72
985,1.53417,985,0.74
986,1.50008,986,0.62
987,1.49191,987,0.71
988,1.54714,988,0.66
989,1.48004,989,0.71
