TrainStep,Cifar10-Loss,Cifar20-Loss,Cifar100-Loss,TrainStep,Cifar10-Accuracy,Cifar20-Accuracy,Cifar100-Accuracy
2350,0.661167,1.405597,2.052012,2350,0.91,0.88,0.76
2360,0.748296,1.397692,2.170761,2360,0.92,0.82,0.78
2370,0.686415,1.478677,2.55544,2370,0.92,0.78,0.65
2380,0.905938,1.759421,2.223941,2380,0.89,0.81,0.71
2390,0.562623,1.587433,2.202494,2390,0.93,0.75,0.75
2400,0.896465,1.687817,2.415642,2400,0.88,0.79,0.63
2410,0.688073,1.628054,1.974812,2410,0.93,0.75,0.8
2420,0.773662,1.292461,2.105458,2420,0.93,0.86,0.71
2430,0.802909,1.209117,2.242735,2430,0.91,0.89,0.71
2440,0.822465,1.676251,1.905552,2440,0.89,0.7,0.74
2450,0.781962,1.608594,2.356986,2450,0.91,0.79,0.67
2460,0.713959,1.490834,2.354545,2460,0.84,0.74,0.68
2470,0.808587,1.590921,2.33383,2470,0.85,0.76,0.65
2480,0.781867,1.3755,2.170843,2480,0.91,0.88,0.74
2490,0.679976,1.666313,2.062622,2490,0.93,0.77,0.69
2500,0.807555,1.457869,2.210635,2500,0.87,0.8,0.75
